City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,constantia,44.1833,28.65,20.38,62,1,2.67,RO,1691037591
1,tiksi,71.6872,128.8694,5.54,89,100,6.28,RU,1691037721
2,edinburgh of the seven seas,-37.0676,-12.3116,13.91,83,96,17.53,SH,1691037721
3,yellowknife,62.456,-114.3525,18.29,59,75,3.09,CA,1691037661
4,port lincoln,-34.7333,135.8667,22.04,43,80,10.4,AU,1691037722
5,bredasdorp,-34.5322,20.0403,10.0,40,80,2.92,ZA,1691037722
6,port-aux-francais,-49.35,70.2167,2.16,99,100,10.95,TF,1691037722
7,adamstown,-25.066,-130.1015,21.44,75,32,9.68,PN,1691037722
8,beaufort west,-32.3567,22.583,10.91,41,27,4.85,ZA,1691037722
9,anna regina,7.2644,-58.5077,26.09,82,3,1.47,GY,1691037723
10,el trebol,-32.2008,-61.7014,15.57,52,2,2.24,AR,1691037723
11,udachny,66.4167,112.4,10.25,66,66,7.33,RU,1691037389
12,lompoc,34.6391,-120.4579,15.01,91,100,7.2,US,1691037391
13,grytviken,-54.2811,-36.5092,-0.48,95,100,1.97,GS,1691037260
14,quellon,-43.1167,-73.6167,4.14,87,100,1.03,CL,1691037724
15,christchurch,-43.5333,172.6333,9.12,78,75,2.06,NZ,1691037724
16,san patricio,28.017,-97.5169,29.92,75,11,5.17,US,1691037724
17,agat village,13.3886,144.6585,31.06,86,75,2.57,GU,1691037725
18,waitangi,-43.9535,-176.5597,7.12,64,100,19.48,NZ,1691037725
19,ngereklmadel,7.4883,134.4856,28.05,78,100,1.54,PW,1691037725
20,klyuchi,52.2667,79.1667,31.43,30,96,3.17,RU,1691037725
21,tsaratanana,-16.7833,47.65,20.41,65,32,6.1,MG,1691037725
22,vila velha,-20.3297,-40.2925,17.19,92,0,0.51,BR,1691037572
23,puerto ayora,-0.7393,-90.3518,24.19,92,31,0.89,EC,1691037726
24,bethel,41.3712,-73.414,20.36,79,0,0.0,US,1691037726
25,badger,64.8,-147.5333,25.95,41,0,3.6,US,1691037726
26,eirunepe,-6.6603,-69.8736,24.6,71,63,0.71,BR,1691037726
27,albany,42.6001,-73.9662,17.23,81,31,0.45,US,1691037727
28,sretensk,52.2453,117.7093,26.54,24,100,5.38,RU,1691037727
29,belyy yar,53.6039,91.3903,26.94,57,0,1.0,RU,1691037727
30,kolonia,50.9333,6.95,17.2,82,93,0.89,DE,1691037436
31,ribeira grande,38.5167,-28.7,23.21,86,100,3.58,PT,1691037727
32,college,64.8569,-147.8028,25.99,40,75,3.6,US,1691037728
33,hadibu,12.65,54.0333,27.37,73,38,13.12,YE,1691037728
34,gorontalo,0.5412,123.0595,32.15,55,27,4.16,ID,1691037469
35,ypsonas,34.6884,32.9574,26.54,74,0,1.03,CY,1691037728
36,tolanaro,-25.0319,46.9987,19.04,77,75,4.12,MG,1691037728
37,gao,16.6362,1.637,31.51,46,61,6.99,ML,1691037729
